MesAno;Regiao;Consumo;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Recomendacao
2004-01;Centro-Oeste;506540,4;3508,2;949,6;24,15;2,1100000000000003;Solar fotovoltaica (padrão)
2004-01;Sul;1132506,0;369,0;986,15;24,0;2,675;Solar fotovoltaica (padrão)
2004-01;Nordeste;1098663,5;4113,0;985,75;25,84117647058824;2,875;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-01;Sudeste;3694385,5;2511,8;944,25;23,55;2,34;Solar fotovoltaica (padrão)
2004-01;Norte;348584,80000000005;771,4;1006,4;26,2;1,7999999999999998;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-02;Sul;1121970,5;261,4;999,2666666666668;23,025;2,3666666666666667;Solar fotovoltaica (padrão)
2004-02;Sudeste;3511541,2;1962,2;950,2;23,25555555555556;2,0;Solar fotovoltaica (padrão)
2004-02;Centro-Oeste;472102,6;2380,6;957,8;24,288888888888888;1,775;Solar fotovoltaica (padrão)
2004-02;Norte;323402,6;968,0;1007,55;25,1;1,4;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-02;Nordeste;1000320,3;2560,6;989,2611111111112;25,72222222222222;2,5444444444444443;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-03;Norte;320237,3;1080,8;1006,75;25,566666666666663;1,35;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-03;Sudeste;3629455,2;1198,6;945,2625;22,966666666666665;2,2;Solar fotovoltaica (padrão)
2004-03;Nordeste;1049437,2;3225,6;988,9;25,79;2,526315789473684;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-03;Sul;1108027,3;243,6;999,8;22,46666666666667;2,3666666666666667;Solar fotovoltaica (padrão)
2004-03;Centro-Oeste;493180,9;2091,0;952,52;24,7;1,92;Solar fotovoltaica (padrão)
2004-04;Norte;339774,80000000005;894,4;1005,8333333333334;26,066666666666663;1,3;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-04;Sudeste;3733863,0;961,0;947,811111111111;22,15;1,9;Solar fotovoltaica (padrão)
2004-04;Nordeste;1097250,6;2314,2;989,3;25,56;2,62;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-04;Centro-Oeste;506070,9;1261,4;953,2636363636364;24,40909090909091;1,818181818181818;Solar fotovoltaica (padrão)
2004-04;Sul;1132047,1;169,4;976,0;21,7;2,9;Solar fotovoltaica (padrão)
2004-05;Norte;332154,9;146,8;1005,8;26,4;2,2;Solar fotovoltaica (padrão)
2004-05;Centro-Oeste;492808,3;321,0;965,2555555555556;22,89;2,033333333333333;Solar fotovoltaica (padrão)
2004-05;Sudeste;3537268,7;375,8;946,62;20,56;1,81;Solar fotovoltaica (padrão)
2004-05;Sul;1082102,6;77,0;980,8;12,5;3,2;Solar fotovoltaica (padrão)
2004-05;Nordeste;1033006,9;1829,0;988,5;24,08888888888889;2,794117647058824;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-06;Sudeste;3433442,5;181,8;946,8888888888888;18,922222222222224;2,2;Solar fotovoltaica (padrão)
2004-06;Sul;1056850,2;82,2;1004,6;15,533333333333331;2,1;Solar fotovoltaica (padrão)
2004-06;Centro-Oeste;466358,8;26,6;957,1090909090908;21,9;1,8818181818181816;Solar fotovoltaica (padrão)
2004-06;Nordeste;1002350,8;2087,4;989,9875;22,59375;2,94375;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-06;Norte;332089,3;182,8;1007,3;26,05;1,6;Solar fotovoltaica (padrão)
2004-07;Sudeste;3457622,9;388,4;937,4;17,8125;2,525;Solar fotovoltaica (padrão)
2004-07;Nordeste;969181,3;1930,4;990,4470588235292;22,011764705882356;3,33125;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-07;Sul;1066704,8;149,2;1005,6666666666666;13,566666666666668;2,433333333333333;Solar fotovoltaica (padrão)
2004-07;Centro-Oeste;470539,0;192,6;955,7615384615384;22,12307692307693;2,1153846153846154;Solar fotovoltaica (padrão)
2004-07;Norte;328423,0;267,2;1006,15;25,9;1,55;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-08;Nordeste;962934,3;999,0;992,5055555555556;22,905555555555555;3,5588235294117645;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-08;Sul;1070192,3;86,8;997,9;14,4;2,15;Solar fotovoltaica (padrão)
2004-08;Norte;338836,3;148,6;1007,0;26,45;1,75;Solar fotovoltaica (padrão)
2004-08;Sudeste;3453322,4;21,6;937,5625;20,285714285714285;2,4125;Solar fotovoltaica (padrão)
2004-08;Centro-Oeste;479191,7;83,39999999999999;961,2833333333332;24,17692307692308;1,9166666666666667;Solar fotovoltaica
2004-09;Norte;351459,30000000005;55,6;1005,05;26,53333333333333;2,0;Solar fotovoltaica
2004-09;Sudeste;3596160,2;30,2;935,225;23,285714285714285;2,8625;Solar fotovoltaica
2004-09;Nordeste;1041242,5;675,8;992,515;24,43;3,9368421052631577;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-09;Sul;1100557,3;67,2;994,55;17,35;3,05;Solar fotovoltaica (padrão)
2004-09;Centro-Oeste;514970,9;361,4;958,7916666666666;26,675;1,9916666666666665;Solar fotovoltaica (padrão)
2004-10;Centro-Oeste;529450,1;1399,4;950,45;26,10909090909091;1,9666666666666668;Solar fotovoltaica (padrão)
2004-10;Norte;353206,6;76,0;1003,9;27,1;2,05;Solar fotovoltaica
2004-10;Sudeste;3608129,9;554,6;932,825;22,885714285714283;2,9125;Solar fotovoltaica (padrão)
2004-10;Sul;1069478,3;199,0;992,95;17,6;2,45;Solar fotovoltaica (padrão)
2004-10;Nordeste;1046248,8;773,4;990,205;25,415;4,121052631578947;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-11;Nordeste;1083211,6;1388,0;988,0473684210529;26,0;3,85;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2004-11;Sudeste;3608514,9;245,8;958,8375;23,266666666666666;2,5625;Solar fotovoltaica (padrão)
2004-11;Centro-Oeste;505694,4;1162,0;953,29;25,41;1,89;Solar fotovoltaica (padrão)
2004-11;Sul;1071489,9;268,4;990,9;19,6;2,35;Solar fotovoltaica (padrão)
2004-11;Norte;362279,3;7,2;1004,1;27,3;3,0;Solar fotovoltaica
2004-12;Centro-Oeste;513252,4;1976,8;953,1833333333334;25,181818181818183;1,75;Solar fotovoltaica (padrão)
2004-12;Sul;1100567,1;105,4;991,15;22,4;2,8;Solar fotovoltaica (padrão)
2004-12;Norte;355893,7;54,4;1004,3;26,75;2,5;Solar fotovoltaica
2004-12;Sudeste;3569437,9;1436,2;956,4777777777776;24,008333333333336;1,95;Solar fotovoltaica (padrão)
2004-12;Nordeste;1104220,2;468,2000000000001;990,2111111111112;26,6;3,235294117647059;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2005-01;Centro-Oeste;526993,9;2272,0;952,325;24,9;1,7916666666666667;Solar fotovoltaica (padrão)
2005-01;Sul;1194715,8;253,4;984,5;25,766666666666666;2,2333333333333334;Solar fotovoltaica (padrão)
2005-01;Sudeste;3873894,3;3997,4;949,6416666666668;23,892857142857142;1,8583333333333332;Solar fotovoltaica (padrão)
2005-01;Nordeste;1166974,2;912,4;985,865;26,88571428571429;3,0157894736842104;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2005-01;Norte;355959,6;657,0;1005,7;26,6;1,65;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2005-02;Centro-Oeste;511087,2;762,0;954,28;25,30909090909091;1,77;Solar fotovoltaica (padrão)
2005-02;Sudeste;3616966,9;979,4;947,8076923076924;23,586666666666662;1,8692307692307693;Solar fotovoltaica (padrão)
2005-02;Nordeste;1132479,4;828,4;986,768181818182;26,63809523809524;2,9857142857142858;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
2005-02;Norte;336135,2;0,0;1005,65;26,1;1,45;Solar fotovoltaica
2005-02;Sul;1161664,3;290,8;986,6666666666666;24,7;2,333333333333333;Solar fotovoltaica (padrão)
2005-03;Centro-Oeste;520203,2;1979,2;956,3;24,816666666666663;1,6272727272727272;Solar fotovoltaica (padrão)
2005-03;Nordeste;1137173,9;2716,6;987,4043478260868;26,39565217391305;2,4909090909090907;Hidrelétrica / Pequenas Centrais Hidrelétricas (PCH)
